date,district,rain_mm,tmax_c,tmin_c,tavg_c,heat_stress_score,pred_prob_critical_t1,pred_critical_t1,risk_score_next_day,alert_level_next_day,rank_within_date,pipeline_mode,aqi_status,confidence_tag,recommended_action
2026-05-01,Jaisalmer,0.0,41.7,27.0,34.35,17.812443881720483,0.012190657727930484,0,12.004761543595881,GREEN,3,Heat-only,excluded,Low,Routine monitoring
2026-05-01,Kota,0.0,42.2,26.8,34.5,17.25867696774198,0.01802126935574433,0,11.84888445648334,GREEN,4,Heat-only,excluded,Low,Routine monitoring
2026-05-01,Jodhpur,0.0,41.2,28.5,34.85,17.097724924731192,0.004588975756273209,0,11.274135352544839,GREEN,5,Heat-only,excluded,Low,Routine monitoring
2026-05-01,Nagaur,0.0,41.6,26.8,34.2,16.66942590322581,0.010413158127088812,0,11.199587371544887,GREEN,6,Heat-only,excluded,Low,Routine monitoring
2026-05-01,Bikaner,0.0,42.2,25.6,33.900000000000006,16.33711843010758,0.011623951291913553,0,11.025965274786902,GREEN,7,Heat-only,excluded,Low,Routine monitoring
2026-05-01,Sirohi,0.0,40.8,26.4,33.599999999999994,15.666334354838689,0.009472286722464841,0,10.514647365931417,GREEN,8,Heat-only,excluded,Low,Routine monitoring
2026-05-01,Bundi,0.0,41.8,25.8,33.8,13.853279311827933,0.01255214081362496,0,9.44395648116503,GREEN,9,Heat-only,excluded,Low,Routine monitoring
2026-05-01,Banswara,0.0,39.0,26.2,32.6,13.239573935483875,0.002951875073067956,0,8.709038685621898,GREEN,10,Heat-only,excluded,Low,Routine monitoring
2026-05-02,Barmer,0.0,44.2,27.5,35.85,38.80957530107529,0.6388818264566067,0,47.587087871680176,GREEN,1,Heat-only,excluded,Low,Routine monitoring
2026-05-02,Pali,0.0,42.2,29.1,35.650000000000006,35.395057623655916,0.27990714268752914,0,32.803537449439865,GREEN,2,Heat-only,excluded,Low,Routine monitoring
2026-05-02,Bikaner,0.0,43.4,28.8,36.1,31.258846849462387,0.16389107467012448,0,26.054438065604906,GREEN,3,Heat-only,excluded,Low,Routine monitoring
2026-05-02,Jaisalmer,0.0,42.6,28.0,35.3,26.212443881720475,0.09068862079389081,0,20.212190250904484,GREEN,4,Heat-only,excluded,Low,Routine monitoring
2026-05-02,Kota,0.0,42.8,28.9,35.849999999999994,27.15867696774194,0.04611122163107772,0,19.26703278611998,GREEN,5,Heat-only,excluded,Low,Routine monitoring
2026-05-02,Nagaur,0.0,42.5,27.6,35.05,24.469425903225805,0.07055281840018181,0,18.374475481103136,GREEN,6,Heat-only,excluded,Low,Routine monitoring
2026-05-02,Jodhpur,0.0,41.7,29.0,35.35,21.597724924731192,0.022579687702734563,0,14.828810270670985,GREEN,7,Heat-only,excluded,Low,Routine monitoring
2026-05-02,Banswara,0.0,40.6,27.0,33.8,20.745966537634427,0.025377273776428514,0,14.373082831637376,GREEN,8,Heat-only,excluded,Low,Routine monitoring
2026-05-02,Bundi,0.0,42.3,27.8,35.05,20.439821709677396,0.01122602944613148,0,13.67879514190491,GREEN,9,Heat-only,excluded,Low,Routine monitoring
2026-05-02,Ganganagar,0.0,41.5,25.1,33.3,18.804911129032256,0.04127106799840316,0,13.667679613815077,GREEN,10,Heat-only,excluded,Low,Routine monitoring
